,proximal_pos, distal_pos, proximal_vel, distal_vel, wrist_pos,,,,,,,,,,,,,,,,,,,,,
0.01,-6526,10635,-1,-1432,0.552128434,,,,,,,,,,,,,,,,,,,,,
0.02,-6526,10156,0,-1732,0.552128434,,,,,,,,,,,,,,,,,,,Measured,,
0.03,-6526,10156,0,-1732,0.552128434,,,,,,,,,,,,,,,,,,,,,
0.04,-6560,10156,-31,-1732,0.552128434,,,,,,,,,,,,,,,,,,,,Start,End
0.05,-6560,8985,-31,-2349,0.552128434,,,,,,,,,,,,,,,,,,,Prox,-6526,-41765
0.06,-6858,8985,-319,-2349,0.552128434,,,,,,,,,,,,,,,,,,,Dist,10635,-47298
0.07,-6858,8150,-319,-2865,0.552128434,,,,,,,,,,,,,,,,,,,,,
0.08,-7432,8150,-890,-2865,0.552128434,,,,,,,,,,,,,,,,,,,,,
0.09,-7432,7106,-890,-3510,0.552128434,,,,,,,,,,,,,,,,,,,Desired,,
0.1,-8061,7106,-1521,-3510,0.552128434,,,,,,,,,,,,,,,,,,,Prox,-4388,-42000
0.11,-8061,5935,-1521,-4206,0.552128434,,,,,,,,,,,,,,,,,,,Dist,10300,-48000
0.12,-8641,5935,-2100,-4206,0.552128434,,,,,,,,,,,,,,,,,,,,,
0.13,-8641,4751,-2100,-4859,0.552128434,,,,,,,,,,,,,,,,,,,,,
0.14,-8641,4751,-2100,-4859,0.552128434,,,,,,,,,,,,,,,,,,,Proximal,,
0.15,-9657,3543,-2800,-5429,0.552128434,,,,,,,,,,,,,,,,,,,DeltaStart,-2138,
0.16,-9657,3543,-2800,-5429,0.552128434,,,,,,,,,,,,,,,,,,,Slope,,
0.17,-10096,2230,-2670,-5905,0.552128434,,,,,,,,,,,,,,,,,,,,,
0.18,-10096,2230,-2670,-5905,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.19,-10492,785,-2435,-6313,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.2,-10492,785,-2435,-6313,0.546320796,,,,,,,,,,,,,,,,,,,original + Offset * 1/114 of (end - start) ,,
0.21,-10853,-764,-2218,-6689,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.22,-10853,-764,-2218,-6689,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.23,-11207,-2372,-2033,-7114,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.24,-11207,-2372,-2033,-7114,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.25,-11566,-4026,-1912,-7552,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.26,-11566,-4026,-1912,-7552,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.27,-11931,-5759,-1835,-7983,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.28,-11931,-5759,-1835,-7983,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.29,-12270,-7572,-1780,-8351,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.3,-12270,-7572,-1780,-8351,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.31,-12581,-9429,-1729,-8659,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.32,-12581,-9429,-1729,-8659,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.33,-12891,-11293,-1686,-8914,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.34,-12891,-11293,-1686,-8914,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.35,-13240,-13156,-1673,-9130,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.36,-13240,-13156,-1673,-9130,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.37,-13629,-15036,-1697,-9273,0.546320796,,,,,,,,,,,,,,,,,,,,,
0.38,-13629,-15036,-1697,-9273,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.39,-14060,-16911,-1785,-9335,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.4,-14060,-16911,-1785,-9335,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.41,-14526,-18772,-1942,-9343,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.42,-14526,-18772,-1942,-9343,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.43,-14526,-18772,-1942,-9343,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.44,-15053,-20604,-2156,-9313,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.45,-15053,-20604,-2156,-9313,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.46,-15644,-22386,-2399,-9230,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.47,-15644,-22386,-2399,-9230,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.48,-16317,-24135,-2679,-9100,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.49,-16317,-24135,-2679,-9100,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.5,-17063,-25843,-2995,-8935,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.51,-17063,-25843,-2995,-8935,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.52,-17875,-27497,-3338,-8729,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.53,-17875,-27497,-3338,-8729,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.54,-18739,-29097,-3678,-8495,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.55,-18739,-29097,-3678,-8495,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.56,-18739,-30633,-3678,-8254,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.57,-20639,-30633,-4316,-8254,0.536533713,,,,,,,,,,,,,,,,,,,,,
0.58,-20639,-32107,-4316,-7982,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.59,-21690,-32107,-4622,-7982,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.6,-21690,-33529,-4622,-7697,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.61,-22798,-33529,-4918,-7697,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.62,-22798,-34905,-4918,-7413,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.63,-23928,-34905,-5180,-7413,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.64,-23928,-36227,-5180,-7138,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.65,-25023,-36227,-5359,-7138,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.66,-25023,-37490,-5359,-6866,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.67,-26092,-37490,-5451,-6866,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.68,-26092,-38720,-5451,-6619,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.69,-27206,-38720,-5510,-6619,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.7,-27206,-39895,-5510,-6371,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.71,-27206,-39895,-5510,-6371,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.72,-28345,-41030,-5544,-6131,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.73,-28345,-41030,-5544,-6131,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.74,-29481,-42105,-5552,-5884,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.75,-29481,-42105,-5552,-5884,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.76,-30578,-43121,-5555,-5639,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.77,-30578,-43121,-5555,-5639,0.506282449,,,,,,,,,,,,,,,,,,,,,
0.78,-31642,-44076,-5549,-5362,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.79,-31642,-44076,-5549,-5362,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.8,-32688,-44975,-5486,-5086,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.81,-32688,-44975,-5486,-5086,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.82,-33686,-45796,-5346,-4776,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.83,-33686,-45796,-5346,-4776,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.84,-34624,-46462,-5152,-4372,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.85,-34624,-46462,-5152,-4372,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.86,-35504,-46892,-4935,-3786,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.87,-35504,-46892,-4935,-3786,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.88,-36331,-47182,-4697,-3125,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.89,-36331,-47182,-4697,-3125,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.9,-37106,-47421,-4426,-2463,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.91,-37106,-47421,-4426,-2463,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.92,-37106,-47421,-4426,-2463,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.93,-38494,-47719,-3875,-1270,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.94,-38494,-47719,-3875,-1270,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.95,-39096,-47702,-3598,-821,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.96,-39096,-47702,-3598,-821,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.97,-39621,-47649,-3297,-474,0.443802655,,,,,,,,,,,,,,,,,,,,,
0.98,-39621,-47649,-3297,-474,0.381339073,,,,,,,,,,,,,,,,,,,,,
0.99,-39621,-47649,-3297,-474,0.381339073,,,,,,,,,,,,,,,,,,,,,
1,-40076,-47629,-2979,-215,0.381339073,,,,,,,,,,,,,,,,,,,,,
1.01,-40076,-47629,-2979,-215,0.381339073,,,,,,,,,,,,,,,,,,,,,
1.02,-40465,-47581,-2645,21,0.381339073,,,,,,,,,,,,,,,,,,,,,
1.03,-40465,-47581,-2645,21,0.381339073,,,,,,,,,,,,,,,,,,,,,
1.04,-40803,-47503,-2319,212,0.381339073,,,,,,,,,,,,,,,,,,,,,
1.05,-40803,-47503,-2319,212,0.381339073,,,,,,,,,,,,,,,,,,,,,
1.06,-41097,-47458,-2009,245,0.381339073,,,,,,,,,,,,,,,,,,,,,
1.07,-41097,-47458,-2009,245,0.381339073,,,,,,,,,,,,,,,,,,,,,
1.08,-41352,-47406,-1738,243,0.381339073,,,,,,,,,,,,,,,,,,,,,
1.09,-41352,-47406,-1738,243,0.381339073,,,,,,,,,,,,,,,,,,,,,
1.1,-41575,-47343,-1505,286,0.381339073,,,,,,,,,,,,,,,,,,,,,
1.11,-41575,-47343,-1505,286,0.381339073,,,,,,,,,,,,,,,,,,,,,
1.12,-41765,-47298,-1305,284,0.381339073,,,,,,,,,,,,,,,,,,,,,
